order_id,customer_region,product_category,order_date,ship_date,delivery_date,shipping_mode,shipping_cost,delivery_status,delivery_days,on_time_flag,delay_flag
OR10021,Central,Grocery,2023-12-21,2023-12-24,2024-01-03,Same Day,277,Delivered,10,1,0
OR10022,West,Electronics,2024-05-15,2024-05-18,2024-05-26,Standard,92,Delivered,8,1,0
OR10023,North,Grocery,2022-03-26,2022-03-27,2022-04-02,Standard,79,Delivered,6,1,0
OR10024,North,Sports,2023-06-03,2023-06-04,2023-06-09,Express,161,Delivered,5,1,0
OR10025,East,Beauty,2023-05-07,2023-05-10,2023-05-20,Standard,63,Delivered,10,1,0
OR10026,East,Fashion,2025-08-01,2025-08-02,2025-08-09,Same Day,292,Delayed,7,0,1
OR10027,South,Fashion,2024-12-08,2024-12-11,2024-12-20,Express,81,Delivered,9,1,0
OR10028,West,Beauty,2024-04-18,2024-04-19,2024-04-25,Standard,118,Delivered,6,1,0
OR10029,West,Home,2024-04-25,2024-04-26,2024-05-03,Standard,59,Delayed,7,0,1
OR10030,East,Grocery,2022-12-16,2022-12-17,2022-12-23,Same Day,218,Delayed,6,0,1
OR10031,West,Fashion,2024-05-05,2024-05-06,2024-05-12,Standard,94,Delivered,6,1,0
OR10032,West,Fashion,2025-12-29,2025-12-30,2026-01-06,Express,227,Delivered,7,1,0
OR10033,North,Sports,2023-04-27,2023-04-28,2023-05-03,Express,237,Delivered,5,1,0
OR10034,East,Sports,2025-08-27,2025-08-28,2025-09-02,Express,131,Delivered,5,1,0
OR10035,Central,Electronics,2025-11-04,2025-11-05,2025-11-09,Express,128,Delivered,4,1,0
OR10036,East,Beauty,2023-12-06,2023-12-09,2023-12-17,Standard,112,Delivered,8,1,0
OR10037,Central,Electronics,2023-04-27,2023-04-30,2023-05-07,Express,130,Delivered,7,1,0
OR10038,North,Fashion,2023-08-19,2023-08-19,2023-08-23,Express,168,Delivered,4,1,0
OR10039,South,Home,2025-01-23,2025-01-26,2025-02-03,Same Day,282,Delivered,8,1,0
OR10040,West,Fashion,2024-09-01,2024-09-04,2024-09-13,Standard,108,Delivered,9,1,0
OR10041,North,Home,2023-06-11,2023-06-12,2023-06-19,Standard,91,Delivered,7,1,0
OR10042,West,Fashion,2024-11-23,2024-11-26,2024-12-06,Same Day,280,Delivered,10,1,0
OR10043,South,Sports,2023-08-04,2023-08-07,2023-08-13,Standard,132,Delayed,6,0,1
OR10044,South,Grocery,2025-05-22,2025-05-25,2025-06-05,Standard,57,Delivered,11,1,0
OR10045,North,Fashion,2024-10-11,2024-10-12,2024-10-16,Express,225,Delayed,4,0,1
OR10046,South,Electronics,2024-11-01,2024-11-02,2024-11-09,Standard,125,Delivered,7,1,0
OR10047,Central,Home,2023-11-02,2023-11-02,2023-11-04,Express,238,Delivered,2,1,0
OR10048,South,Home,2022-05-30,2022-06-02,2022-06-08,Standard,125,Delivered,6,1,0
OR10049,West,Fashion,2025-06-17,2025-06-18,2025-06-23,Standard,84,Delivered,5,1,0
OR10050,West,Home,2024-12-31,2025-01-03,2025-01-11,Express,122,Delivered,8,1,0
OR10051,West,Electronics,2022-07-11,2022-07-14,2022-07-20,Standard,146,Delivered,6,1,0
OR10052,West,Sports,2024-04-07,2024-04-10,2024-04-16,Standard,115,Delivered,6,1,0
OR10053,Central,Grocery,2022-08-17,2022-08-18,2022-08-24,Standard,95,Delivered,6,1,0
OR10054,East,Grocery,2022-10-11,2022-10-12,2022-10-16,Standard,81,Returned,4,1,0
OR10055,North,Home,2025-09-16,2025-09-19,2025-09-25,Standard,107,Delivered,6,1,0
OR10056,West,Fashion,2022-08-22,2022-08-23,2022-08-28,Express,165,Delivered,5,1,0
OR10057,South,Home,2022-11-29,2022-11-30,2022-12-07,Express,194,Delivered,7,1,0
OR10058,West,Electronics,2022-02-12,2022-02-15,2022-02-22,Express,244,Delivered,7,1,0
OR10059,South,Beauty,2025-12-05,2025-12-06,2025-12-12,Standard,69,Delivered,6,1,0
OR10060,South,Fashion,2024-03-01,2024-03-04,2024-03-13,Express,243,Delayed,9,0,1
OR10061,West,Sports,2024-01-25,2024-01-26,2024-02-01,Standard,77,Delivered,6,1,0
OR10062,Central,Electronics,2022-04-07,2022-04-08,2022-04-13,Express,148,Delivered,5,1,0
OR10063,South,Sports,2023-01-08,2023-01-11,2023-01-17,Standard,51,Delivered,6,1,0
OR10064,South,Fashion,2023-08-25,2023-08-26,2023-08-30,Standard,81,Delivered,4,1,0
OR10065,West,Sports,2022-08-23,2022-08-23,2022-08-27,Standard,52,Delivered,4,1,0
OR10066,South,Electronics,2025-12-14,2025-12-15,2025-12-20,Standard,90,Delivered,5,1,0
OR10067,South,Electronics,2022-04-07,2022-04-08,2022-04-13,Standard,79,Delivered,5,1,0
OR10068,West,Home,2025-08-10,2025-08-11,2025-08-16,Standard,61,Returned,5,1,0
OR10069,West,Beauty,2024-07-27,2024-07-30,2024-08-11,Standard,95,Delivered,12,1,0
OR10070,North,Fashion,2022-09-09,2022-09-10,2022-09-15,Express,97,Returned,5,1,0
OR10071,Central,Grocery,2023-01-03,2023-01-04,2023-01-09,Standard,100,Delayed,5,0,1
OR10072,Central,Beauty,2022-02-10,2022-02-10,2022-02-14,Standard,52,Delivered,4,1,0
OR10073,South,Grocery,2025-08-16,2025-08-17,2025-08-21,Standard,115,Delivered,4,1,0
OR10074,Central,Sports,2024-02-24,2024-02-27,2024-03-05,Same Day,215,Delivered,7,1,0
OR10075,South,Grocery,2022-11-04,2022-11-07,2022-11-15,Standard,51,Delivered,8,1,0
OR10076,North,Grocery,2025-08-15,2025-08-18,2025-08-27,Same Day,362,Delivered,9,1,0
OR10077,West,Electronics,2022-01-01,2022-01-02,2022-01-09,Standard,76,Delayed,7,0,1
OR10078,West,Electronics,2022-04-03,2022-04-03,2022-04-07,Standard,121,Delayed,4,0,1
OR10079,West,Electronics,2022-10-08,2022-10-11,2022-10-19,Express,81,Delivered,8,1,0
OR10080,Central,Grocery,2023-04-03,2023-04-03,2023-04-06,Standard,92,Delayed,3,0,1
OR10081,North,Sports,2023-05-03,2023-05-04,2023-05-09,Standard,74,Delivered,5,1,0
OR10082,Central,Fashion,2024-04-01,2024-04-04,2024-04-11,Standard,97,Delivered,7,1,0
OR10083,Central,Home,2024-04-25,2024-04-26,2024-05-03,Standard,130,Delayed,7,0,1
OR10084,North,Sports,2023-02-11,2023-02-11,2023-02-15,Standard,138,Delivered,4,1,0
OR10085,North,Electronics,2025-07-22,2025-07-23,2025-07-28,Standard,133,Delivered,5,1,0
OR10086,North,Sports,2024-07-15,2024-07-18,2024-07-29,Standard,52,Delivered,11,1,0
OR10087,North,Fashion,2023-05-02,2023-05-05,2023-05-14,Standard,82,Delivered,9,1,0
OR10088,West,Beauty,2025-01-31,2025-02-01,2025-02-08,Express,246,Delivered,7,1,0
OR10089,East,Electronics,2024-03-16,2024-03-17,2024-03-21,Standard,72,Delivered,4,1,0
OR10090,East,Fashion,2025-11-27,2025-11-30,2025-12-08,Standard,122,Delayed,8,0,1
OR10091,North,Beauty,2025-02-04,2025-02-05,2025-02-11,Standard,115,Delivered,6,1,0
OR10092,East,Home,2025-11-09,2025-11-09,2025-11-13,Express,225,Delivered,4,1,0
OR10093,East,Sports,2022-08-18,2022-08-19,2022-08-26,Standard,100,Delayed,7,0,1
OR10094,North,Home,2025-05-13,2025-05-13,2025-05-17,Standard,139,Delivered,4,1,0
OR10095,East,Grocery,2025-11-01,2025-11-04,2025-11-10,Standard,129,Delivered,6,1,0
OR10096,Central,Sports,2022-06-27,2022-06-30,2022-07-06,Standard,87,Delivered,6,1,0
OR10097,South,Beauty,2022-04-08,2022-04-11,2022-04-17,Standard,51,Delivered,6,1,0
OR10098,South,Grocery,2023-07-24,2023-07-25,2023-08-01,Standard,103,Returned,7,1,0
OR10099,North,Fashion,2022-12-03,2022-12-06,2022-12-14,Standard,114,Returned,8,1,0
OR10100,West,Grocery,2024-07-16,2024-07-19,2024-07-25,Express,101,Delivered,6,1,0
OR10101,North,Beauty,2022-06-26,2022-06-27,2022-07-03,Express,108,Delivered,6,1,0
OR10102,West,Beauty,2023-09-02,2023-09-03,2023-09-09,Standard,148,Delivered,6,1,0
OR10103,South,Fashion,2024-01-07,2024-01-07,2024-01-11,Standard,110,Delivered,4,1,0
OR10104,North,Home,2024-01-18,2024-01-21,2024-01-30,Standard,71,Delivered,9,1,0
OR10105,Central,Electronics,2025-01-20,2025-01-20,2025-01-24,Same Day,364,Delivered,4,1,0
OR10106,East,Home,2024-07-28,2024-07-29,2024-08-02,Express,248,Delivered,4,1,0
OR10107,West,Grocery,2022-09-08,2022-09-11,2022-09-19,Standard,59,Delivered,8,1,0
OR10108,East,Fashion,2025-10-12,2025-10-13,2025-10-19,Express,111,Delivered,6,1,0
OR10109,East,Grocery,2022-08-04,2022-08-07,2022-08-19,Express,108,Delivered,12,1,0
OR10110,North,Beauty,2023-03-08,2023-03-11,2023-03-22,Standard,86,Delivered,11,1,0
OR10111,East,Electronics,2023-06-22,2023-06-25,2023-07-05,Standard,90,Delayed,10,0,1
OR10112,Central,Sports,2025-03-04,2025-03-07,2025-03-13,Express,130,Delayed,6,0,1
OR10113,East,Sports,2024-12-03,2024-12-06,2024-12-12,Same Day,221,Delivered,6,1,0
OR10114,North,Sports,2022-02-21,2022-02-24,2022-03-07,Standard,134,Delayed,11,0,1
OR10115,Central,Grocery,2023-11-03,2023-11-06,2023-11-13,Standard,132,Delayed,7,0,1
OR10116,South,Sports,2023-12-16,2023-12-17,2023-12-23,Express,219,Delivered,6,1,0
OR10117,East,Fashion,2022-03-16,2022-03-17,2022-03-23,Standard,138,Delivered,6,1,0
OR10118,North,Electronics,2024-05-01,2024-05-02,2024-05-08,Standard,67,Delivered,6,1,0
OR10119,South,Beauty,2025-04-23,2025-04-24,2025-04-29,Express,223,Delayed,5,0,1
OR10120,South,Home,2022-02-21,2022-02-22,2022-02-27,Same Day,280,Delivered,5,1,0
OR10121,West,Beauty,2024-07-18,2024-07-21,2024-07-27,Standard,104,Delayed,6,0,1
OR10122,Central,Fashion,2022-08-27,2022-08-28,2022-09-03,Standard,143,Delayed,6,0,1
OR10123,East,Electronics,2023-09-18,2023-09-21,2023-09-28,Standard,95,Delivered,7,1,0
OR10124,North,Home,2024-12-21,2024-12-24,2025-01-02,Standard,138,Delayed,9,0,1
OR10125,West,Sports,2024-01-28,2024-01-31,2024-02-06,Standard,88,Delivered,6,1,0
OR10126,Central,Home,2023-12-27,2023-12-28,2024-01-03,Standard,51,Delivered,6,1,0
OR10127,West,Grocery,2024-09-09,2024-09-10,2024-09-15,Express,216,Delivered,5,1,0
OR10128,Central,Grocery,2024-09-15,2024-09-18,2024-09-27,Express,154,Delivered,9,1,0
OR10129,Central,Sports,2022-11-28,2022-11-29,2022-12-06,Standard,139,Delivered,7,1,0
OR10130,East,Sports,2022-06-08,2022-06-09,2022-06-16,Standard,80,Delivered,7,1,0
OR10131,Central,Fashion,2023-02-17,2023-02-18,2023-02-23,Standard,137,Returned,5,1,0
OR10132,West,Fashion,2022-10-14,2022-10-15,2022-10-20,Express,119,Delivered,5,1,0
OR10133,Central,Beauty,2023-06-08,2023-06-11,2023-06-18,Standard,100,Delivered,7,1,0
OR10134,East,Grocery,2024-09-28,2024-09-29,2024-10-03,Standard,101,Delayed,4,0,1
OR10135,East,Electronics,2024-10-11,2024-10-14,2024-10-22,Standard,128,Delivered,8,1,0
OR10136,West,Fashion,2022-11-09,2022-11-12,2022-11-20,Standard,94,Delayed,8,0,1
OR10137,South,Electronics,2022-01-27,2022-01-28,2022-02-04,Standard,139,Delivered,7,1,0
OR10138,South,Beauty,2024-04-18,2024-04-19,2024-04-26,Express,199,Delayed,7,0,1
OR10139,Central,Grocery,2025-10-21,2025-10-22,2025-10-29,Express,132,Delivered,7,1,0
OR10140,North,Fashion,2023-02-12,2023-02-12,2023-02-15,Express,175,Delivered,3,1,0
OR10141,Central,Electronics,2022-12-04,2022-12-07,2022-12-15,Express,217,Returned,8,1,0
OR10142,West,Beauty,2023-02-12,2023-02-13,2023-02-18,Express,248,Delivered,5,1,0
OR10143,West,Electronics,2025-01-04,2025-01-05,2025-01-12,Standard,129,Delivered,7,1,0
OR10144,West,Fashion,2022-03-16,2022-03-17,2022-03-23,Standard,90,Delivered,6,1,0
OR10145,West,Sports,2022-09-16,2022-09-19,2022-09-25,Standard,77,Delivered,6,1,0
OR10146,West,Beauty,2022-12-23,2022-12-26,2023-01-02,Express,99,Delivered,7,1,0
OR10147,East,Beauty,2022-10-12,2022-10-13,2022-10-20,Standard,58,Delivered,7,1,0
OR10148,South,Home,2025-12-10,2025-12-10,2025-12-14,Standard,70,Delivered,4,1,0
OR10149,West,Sports,2024-12-13,2024-12-13,2024-12-17,Standard,130,Delivered,4,1,0
OR10150,North,Beauty,2025-12-16,2025-12-19,2025-12-27,Standard,61,Delivered,8,1,0
OR10151,North,Home,2025-05-31,2025-06-01,2025-06-06,Standard,90,Delivered,5,1,0
OR10152,North,Electronics,2024-04-12,2024-04-15,2024-04-21,Standard,55,Delivered,6,1,0
OR10153,North,Fashion,2024-01-11,2024-01-14,2024-01-26,Standard,79,Delivered,12,1,0
OR10154,East,Beauty,2024-01-16,2024-01-17,2024-01-21,Express,89,Delivered,4,1,0
OR10155,North,Grocery,2022-09-03,2022-09-06,2022-09-14,Standard,93,Delivered,8,1,0
OR10156,West,Fashion,2024-08-12,2024-08-15,2024-08-22,Express,200,Delivered,7,1,0
OR10157,Central,Sports,2023-04-03,2023-04-06,2023-04-13,Express,142,Delivered,7,1,0
OR10158,North,Home,2022-07-02,2022-07-03,2022-07-09,Express,184,Delivered,6,1,0
OR10159,East,Fashion,2022-09-16,2022-09-19,2022-09-27,Standard,106,Delivered,8,1,0
OR10160,East,Home,2024-06-04,2024-06-04,2024-06-07,Standard,146,Delivered,3,1,0
OR10161,North,Sports,2022-09-27,2022-09-30,2022-10-10,Standard,131,Delayed,10,0,1
OR10162,Central,Sports,2024-03-23,2024-03-24,2024-03-29,Express,164,Delivered,5,1,0
OR10163,North,Fashion,2023-09-13,2023-09-16,2023-09-23,Standard,98,Delivered,7,1,0
OR10164,East,Beauty,2022-12-17,2022-12-20,2022-12-27,Standard,116,Delivered,7,1,0
OR10165,South,Grocery,2025-04-26,2025-04-29,2025-05-08,Express,147,Delivered,9,1,0
OR10166,West,Beauty,2023-05-17,2023-05-20,2023-06-01,Standard,107,Delivered,12,1,0
OR10167,East,Grocery,2025-04-15,2025-04-18,2025-04-26,Same Day,300,Delivered,8,1,0
OR10168,North,Home,2025-11-17,2025-11-20,2025-11-27,Express,164,Delivered,7,1,0
OR10169,West,Fashion,2024-04-17,2024-04-18,2024-04-25,Standard,97,Delivered,7,1,0
OR10170,North,Electronics,2024-10-18,2024-10-18,2024-10-22,Standard,100,Delivered,4,1,0
OR10171,North,Sports,2025-10-04,2025-10-05,2025-10-12,Standard,52,Delivered,7,1,0
OR10172,South,Beauty,2024-12-22,2024-12-25,2025-01-03,Same Day,317,Delayed,9,0,1
OR10173,West,Home,2022-06-29,2022-07-02,2022-07-08,Express,120,Delivered,6,1,0
OR10174,West,Sports,2025-08-27,2025-08-27,2025-08-31,Express,83,Delivered,4,1,0
OR10175,South,Home,2023-09-17,2023-09-18,2023-09-24,Express,97,Delivered,6,1,0
OR10176,East,Fashion,2025-02-07,2025-02-10,2025-02-20,Standard,85,Delivered,10,1,0
OR10177,North,Home,2023-05-30,2023-06-02,2023-06-12,Express,162,Delivered,10,1,0
OR10178,Central,Home,2022-09-15,2022-09-18,2022-09-27,Express,206,Delivered,9,1,0
OR10179,North,Electronics,2023-06-24,2023-06-25,2023-06-30,Standard,129,Delivered,5,1,0
OR10180,North,Home,2023-02-25,2023-02-26,2023-03-03,Standard,139,Delayed,5,0,1
OR10181,East,Grocery,2022-09-05,2022-09-06,2022-09-13,Standard,81,Delivered,7,1,0
OR10182,North,Home,2024-10-29,2024-11-01,2024-11-09,Standard,142,Delivered,8,1,0
OR10183,South,Home,2025-08-04,2025-08-05,2025-08-11,Standard,139,Delivered,6,1,0
OR10184,South,Fashion,2023-04-10,2023-04-13,2023-04-25,Standard,82,Delayed,12,0,1
OR10185,West,Home,2025-01-03,2025-01-04,2025-01-11,Same Day,269,Delivered,7,1,0
OR10186,Central,Electronics,2022-04-12,2022-04-15,2022-04-22,Standard,133,Delivered,7,1,0
OR10187,North,Fashion,2023-05-26,2023-05-29,2023-06-04,Express,81,Delivered,6,1,0
OR10188,North,Sports,2022-10-18,2022-10-21,2022-10-29,Standard,113,Delivered,8,1,0
OR10189,East,Grocery,2022-05-03,2022-05-06,2022-05-15,Standard,65,Delivered,9,1,0
OR10190,South,Grocery,2023-03-06,2023-03-09,2023-03-17,Standard,68,Delayed,8,0,1
OR10191,Central,Sports,2025-09-01,2025-09-02,2025-09-08,Standard,51,Delivered,6,1,0
OR10192,West,Home,2025-02-18,2025-02-21,2025-03-02,Standard,109,Delivered,9,1,0
OR10193,South,Electronics,2022-08-20,2022-08-21,2022-08-28,Express,209,Delivered,7,1,0
OR10194,West,Electronics,2024-11-12,2024-11-13,2024-11-19,Standard,78,Delivered,6,1,0
OR10195,East,Electronics,2023-04-07,2023-04-08,2023-04-15,Express,249,Delayed,7,0,1
OR10196,East,Electronics,2023-08-12,2023-08-15,2023-08-26,Express,119,Delayed,11,0,1
OR10197,North,Home,2024-08-08,2024-08-11,2024-08-17,Standard,56,Delayed,6,0,1
OR10198,Central,Sports,2025-08-08,2025-08-11,2025-08-17,Standard,67,Delivered,6,1,0
OR10199,West,Sports,2023-12-29,2024-01-01,2024-01-10,Standard,57,Delivered,9,1,0
OR10200,South,Grocery,2023-09-01,2023-09-04,2023-09-14,Standard,79,Delivered,10,1,0
OR10201,East,Sports,2024-05-30,2024-06-02,2024-06-12,Standard,131,Delivered,10,1,0
OR10202,North,Electronics,2022-07-18,2022-07-19,2022-07-24,Standard,137,Delivered,5,1,0
OR10203,North,Home,2022-05-17,2022-05-20,2022-05-27,Express,188,Delivered,7,1,0
OR10204,West,Fashion,2025-10-25,2025-10-28,2025-11-04,Same Day,389,Delivered,7,1,0
OR10205,East,Fashion,2022-01-21,2022-01-24,2022-02-05,Express,150,Delivered,12,1,0
OR10206,Central,Electronics,2022-06-09,2022-06-10,2022-06-15,Standard,59,Delivered,5,1,0
OR10207,East,Beauty,2022-11-18,2022-11-21,2022-12-01,Standard,144,Delivered,10,1,0
OR10208,West,Grocery,2022-10-27,2022-10-30,2022-11-05,Express,134,Delivered,6,1,0
OR10209,West,Fashion,2023-09-25,2023-09-28,2023-10-06,Standard,120,Delayed,8,0,1
OR10210,East,Beauty,2023-12-06,2023-12-07,2023-12-13,Standard,140,Delivered,6,1,0
OR10211,West,Electronics,2023-04-04,2023-04-07,2023-04-15,Standard,98,Delivered,8,1,0
OR10212,East,Home,2025-09-21,2025-09-24,2025-09-30,Express,153,Delayed,6,0,1
OR10213,South,Fashion,2023-12-28,2023-12-29,2024-01-04,Express,156,Delivered,6,1,0
OR10214,East,Electronics,2023-10-17,2023-10-20,2023-10-27,Standard,70,Delivered,7,1,0
OR10215,East,Fashion,2023-10-29,2023-11-01,2023-11-11,Express,146,Delivered,10,1,0
OR10216,West,Home,2022-01-16,2022-01-17,2022-01-21,Same Day,249,Returned,4,1,0
OR10217,West,Sports,2022-10-29,2022-11-01,2022-11-10,Standard,71,Delivered,9,1,0
OR10218,North,Sports,2025-10-14,2025-10-15,2025-10-21,Standard,52,Delivered,6,1,0
OR10219,North,Home,2024-08-01,2024-08-04,2024-08-12,Standard,126,Delivered,8,1,0
OR10220,South,Home,2022-01-19,2022-01-22,2022-02-01,Express,198,Delivered,10,1,0
OR10221,North,Sports,2023-08-25,2023-08-28,2023-09-05,Standard,121,Delivered,8,1,0
OR10222,East,Home,2022-11-05,2022-11-06,2022-11-13,Standard,80,Delayed,7,0,1
OR10223,West,Home,2022-02-16,2022-02-17,2022-02-22,Standard,82,Delivered,5,1,0
OR10224,North,Home,2022-05-11,2022-05-12,2022-05-16,Standard,77,Delayed,4,0,1
OR10225,North,Sports,2022-03-29,2022-04-01,2022-04-10,Same Day,295,Delivered,9,1,0
OR10226,South,Sports,2022-12-08,2022-12-09,2022-12-15,Standard,71,Delayed,6,0,1
OR10227,South,Beauty,2022-03-03,2022-03-04,2022-03-11,Standard,113,Delivered,7,1,0
OR10228,East,Fashion,2022-05-09,2022-05-12,2022-05-20,Standard,107,Delivered,8,1,0
OR10229,West,Sports,2022-02-08,2022-02-11,2022-02-20,Express,175,Delayed,9,0,1
OR10230,South,Fashion,2025-03-30,2025-03-30,2025-04-03,Standard,58,Delivered,4,1,0
OR10231,North,Sports,2024-03-01,2024-03-02,2024-03-09,Express,237,Delivered,7,1,0
OR10232,West,Grocery,2024-12-08,2024-12-09,2024-12-15,Standard,132,Delivered,6,1,0
OR10233,West,Fashion,2023-09-29,2023-10-02,2023-10-14,Express,205,Delivered,12,1,0
OR10234,North,Home,2024-08-02,2024-08-05,2024-08-17,Standard,110,Delivered,12,1,0
OR10235,South,Grocery,2024-01-09,2024-01-10,2024-01-14,Express,157,Delivered,4,1,0
OR10236,North,Beauty,2025-08-21,2025-08-24,2025-08-30,Standard,133,Delivered,6,1,0
OR10237,West,Sports,2023-01-29,2023-02-01,2023-02-12,Express,242,Delayed,11,0,1
OR10238,Central,Sports,2022-12-18,2022-12-19,2022-12-23,Standard,103,Delivered,4,1,0
OR10239,Central,Beauty,2024-04-13,2024-04-14,2024-04-21,Express,150,Delivered,7,1,0
OR10240,East,Grocery,2022-03-12,2022-03-13,2022-03-19,Standard,95,Delivered,6,1,0
OR10241,North,Electronics,2024-09-10,2024-09-13,2024-09-19,Same Day,330,Delivered,6,1,0
OR10242,North,Home,2022-02-08,2022-02-11,2022-02-18,Express,220,Delivered,7,1,0
OR10243,East,Fashion,2024-07-26,2024-07-27,2024-08-03,Express,120,Delayed,7,0,1
OR10244,East,Grocery,2025-01-28,2025-01-29,2025-02-05,Standard,144,Delivered,7,1,0
OR10245,East,Fashion,2023-05-28,2023-05-31,2023-06-06,Standard,99,Delivered,6,1,0
OR10246,West,Sports,2023-11-07,2023-11-07,2023-11-10,Same Day,283,Delivered,3,1,0
OR10247,North,Electronics,2024-09-13,2024-09-16,2024-09-22,Standard,55,Delivered,6,1,0
OR10248,West,Beauty,2023-11-15,2023-11-18,2023-11-28,Express,97,Delivered,10,1,0
OR10249,East,Electronics,2025-01-25,2025-01-28,2025-02-07,Express,187,Delayed,10,0,1
OR10250,North,Fashion,2023-09-14,2023-09-14,2023-09-17,Standard,71,Delivered,3,1,0
OR10251,West,Beauty,2023-11-29,2023-11-29,2023-12-02,Standard,129,Delivered,3,1,0
OR10252,West,Sports,2024-09-18,2024-09-21,2024-09-29,Same Day,364,Delayed,8,0,1
OR10253,East,Beauty,2025-11-12,2025-11-13,2025-11-17,Standard,131,Delivered,4,1,0
OR10254,North,Beauty,2023-05-27,2023-05-28,2023-06-02,Standard,112,Delivered,5,1,0
OR10255,East,Electronics,2024-12-12,2024-12-15,2024-12-22,Standard,139,Delivered,7,1,0
OR10256,North,Home,2023-04-18,2023-04-21,2023-04-29,Express,91,Delivered,8,1,0
OR10257,Central,Sports,2022-07-04,2022-07-07,2022-07-18,Standard,118,Delivered,11,1,0
OR10258,South,Grocery,2022-07-20,2022-07-21,2022-07-25,Express,100,Delayed,4,0,1
OR10259,South,Grocery,2022-03-19,2022-03-19,2022-03-23,Express,104,Delivered,4,1,0
OR10260,South,Grocery,2022-09-05,2022-09-06,2022-09-11,Standard,107,Delivered,5,1,0
OR10261,East,Home,2025-12-28,2025-12-31,2026-01-06,Express,103,Delivered,6,1,0
OR10262,Central,Sports,2024-02-12,2024-02-15,2024-02-25,Standard,53,Delayed,10,0,1
OR10263,North,Beauty,2024-03-30,2024-04-02,2024-04-11,Standard,144,Delayed,9,0,1
OR10264,West,Fashion,2024-07-01,2024-07-04,2024-07-11,Standard,58,Delivered,7,1,0
OR10265,North,Fashion,2022-02-01,2022-02-02,2022-02-06,Standard,137,Delivered,4,1,0
OR10266,West,Sports,2023-03-29,2023-03-30,2023-04-06,Standard,51,Delivered,7,1,0
OR10267,North,Home,2023-01-16,2023-01-19,2023-01-25,Express,192,Delivered,6,1,0
OR10268,Central,Sports,2024-08-14,2024-08-17,2024-08-27,Standard,83,Delivered,10,1,0
OR10269,West,Fashion,2025-11-18,2025-11-19,2025-11-25,Express,225,Delivered,6,1,0
OR10270,East,Sports,2023-02-11,2023-02-14,2023-02-20,Standard,56,Delayed,6,0,1
OR10271,North,Grocery,2024-05-30,2024-05-30,2024-06-02,Express,85,Delivered,3,1,0
OR10272,North,Beauty,2025-04-19,2025-04-22,2025-04-30,Standard,137,Delivered,8,1,0
OR10273,West,Sports,2022-11-13,2022-11-16,2022-11-25,Express,211,Delivered,9,1,0
OR10274,East,Beauty,2023-10-21,2023-10-24,2023-10-30,Standard,82,Returned,6,1,0
OR10275,East,Electronics,2024-07-30,2024-08-02,2024-08-08,Standard,73,Delivered,6,1,0
OR10276,Central,Sports,2023-11-03,2023-11-04,2023-11-08,Standard,57,Returned,4,1,0
OR10277,East,Fashion,2025-08-18,2025-08-19,2025-08-23,Standard,145,Delivered,4,1,0
OR10278,East,Fashion,2023-07-28,2023-07-31,2023-08-09,Standard,91,Delivered,9,1,0
OR10279,East,Beauty,2024-05-09,2024-05-10,2024-05-14,Standard,112,Delivered,4,1,0
OR10280,South,Fashion,2025-08-26,2025-08-29,2025-09-06,Same Day,325,Delivered,8,1,0
